Tiempo (s),Temperatura (°C),Estado Servo
0.07,21.25,Cerrado
0.13,21.25,Cerrado
0.34,21.00,Cerrado
0.53,21.00,Cerrado
0.74,20.75,Cerrado
0.95,21.25,Cerrado
1.16,21.25,Cerrado
1.35,21.25,Cerrado
1.55,21.00,Cerrado
1.76,21.25,Cerrado
1.95,21.25,Cerrado
2.16,21.25,Cerrado
2.37,21.25,Cerrado
2.56,21.25,Cerrado
2.77,21.00,Cerrado
2.98,21.25,Cerrado
3.17,21.25,Cerrado
3.38,21.25,Cerrado
3.59,21.00,Cerrado
3.78,20.75,Cerrado
3.98,20.75,Cerrado
4.19,21.00,Cerrado
4.40,21.25,Cerrado
4.59,21.25,Cerrado
4.80,21.25,Cerrado
5.01,20.75,Cerrado
5.22,20.75,Cerrado
5.41,21.25,Cerrado
5.62,21.00,Cerrado
5.82,21.25,Cerrado
6.01,21.25,Cerrado
6.22,21.50,Cerrado
6.43,20.75,Cerrado
6.62,20.50,Cerrado
6.83,21.25,Cerrado
7.04,21.00,Cerrado
7.25,21.25,Cerrado
7.45,21.25,Cerrado
7.65,20.75,Cerrado
7.84,20.75,Cerrado
8.05,20.75,Cerrado
8.25,21.25,Cerrado
8.46,21.25,Cerrado
8.65,20.75,Cerrado
8.86,21.25,Cerrado
9.07,20.75,Cerrado
9.28,21.00,Cerrado
9.47,21.25,Cerrado
9.67,21.25,Cerrado
9.88,21.25,Cerrado
10.09,21.00,Cerrado
10.28,21.25,Cerrado
10.49,21.25,Cerrado
10.70,21.50,Cerrado
10.91,21.25,Cerrado
11.10,21.25,Cerrado
11.31,20.75,Cerrado
11.51,21.25,Cerrado
11.71,21.25,Cerrado
11.91,21.25,Cerrado
12.11,21.00,Cerrado
12.31,21.00,Cerrado
12.52,20.50,Cerrado
12.73,21.25,Cerrado
12.92,20.75,Cerrado
13.13,21.25,Cerrado
13.34,21.25,Cerrado
13.54,21.00,Cerrado
13.74,20.50,Cerrado
13.94,21.25,Cerrado
14.15,21.25,Cerrado
14.34,20.75,Cerrado
14.55,21.00,Cerrado
14.76,21.00,Cerrado
14.95,21.00,Cerrado
15.16,20.75,Cerrado
15.37,20.50,Cerrado
